StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,attention_check,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,affiliation,affiliation_4_TEXT,strong_red,strong_blue,affiliation_none,importance_aff,gender,gender_3_TEXT,age,AI timer 1_First Click,AI timer 1_Last Click,AI timer 1_Page Submit,AI timer 1_Click Count,AI Q 1,AI timer 2_First Click,AI timer 2_Last Click,AI timer 2_Page Submit,AI timer 2_Click Count,AI Q2,AI timer 3_First Click,AI timer 3_Last Click,AI timer 3_Page Submit,AI timer 3_Click Count,"AI Q 3 ",AI timer 4 _First Click,AI timer 4 _Last Click,AI timer 4 _Page Submit,AI timer 4 _Click Count,"AI Q 4 ",AI timer 5 _First Click,AI timer 5 _Last Click,AI timer 5 _Page Submit,AI timer 5 _Click Count,"AI Q 5 ",familiarity,rid,Politician,MatrixResponses
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Informationsark


Studiets titel: Holdninger til politikere


Forskere: Santiago Ventura (University of Warwick), Tim Mullett (University of Warwick), Nick Chater (University of Warwick) og Cecilie Traberg (Copenhagen Business School).


Finansiering: Dette forskningsprojekt er finansieret af Warwick Business School (University of Warwick).


Projektets formål og varighed:
Formålet med dette studie er at opnå en bedre forståelse af menneskers holdninger til danske politikere. 

Den forventede varighed af studiet er 2–3 minutter.


Metode og deltagelse:
I dette studie vil du blive bedt om at give din vurdering af en dansk politiker. Derudover vil du blive bedt om at udfylde et kort demografisk spørgeskema (fx alder og køn). 

Risici og fordele:
Deltagelse i studiet indebærer ingen risici ud over dem, man normalt møder i dagligdagen. Vi kan ikke garantere, at du vil opnå nogen direkte fordele ved at deltage.


Frivillig deltagelse:
Din deltagelse er fuldstændig frivillig. Du kan til enhver tid trække dig fra studiet ved blot at lukke din browser. Bemærk dog, at vi kun kan udbetale kompensation, hvis du gennemfører spørgeskemaet.


Privatliv og databeskyttelse:
For at beskytte dit privatliv indsamles der ingen direkte identificerbare oplysninger (fx navn, e-mailadresse eller postadresse). Data vil blive anonymiseret hurtigst muligt efter indsamling, og efter dette tidspunkt vil det ikke være muligt at trække dine data tilbage.",Hvilken politiker blev du bedt om at tænke på?,"Når det gælder [Field-Politician], i hvilken grad er du enig eller uenig i følgende udsagn? - [Field-Politician] er kompetent.","Når det gælder [Field-Politician], i hvilken grad er du enig eller uenig i følgende udsagn? - [Field-Politician] er ekspert.","Når det gælder [Field-Politician], i hvilken grad er du enig eller uenig i følgende udsagn? - [Field-Politician] udfører sit hverv meget godt.","Når det gælder [Field-Politician], i hvilken grad er du enig eller uenig i følgende udsagn? - Hvis borgerne har brug for hjælp, vil [Field-Politician] gøre sit bedste for at hjælpe dem.","Når det gælder [Field-Politician], i hvilken grad er du enig eller uenig i følgende udsagn? - [Field-Politician] handler i borgernes interesse.","Når det gælder [Field-Politician], i hvilken grad er du enig eller uenig i følgende udsagn? - [Field-Politician] er oprigtigt interesseret i borgernes trivsel.","Når det gælder [Field-Politician], i hvilken grad er du enig eller uenig i følgende udsagn? - [Field-Politician] henvender sig til borgerne på en oprigtig måde.","Når det gælder [Field-Politician], i hvilken grad er du enig eller uenig i følgende udsagn? - [Field-Politician] er oprigtig.","Når det gælder [Field-Politician], i hvilken grad er du enig eller uenig i følgende udsagn? - [Field-Politician] er ærlig.","Generelt set, opfatter du dig selv som en del af rød blok, blå blok, eller ingen af delene? - Selected Choice","Generelt set, opfatter du dig selv som en del af rød blok, blå blok, eller ingen af delene? - Andet - Text",Vil du betegne dig selv som stærkt tilknyttet rød blok eller ikke særligt stærkt tilknyttet rød blok?,Vil du betegne dig selv som stærkt tilknyttet blå blok eller ikke særligt stærkt tilknyttet blå blok?,Opfatter du dig selv som tættest på rød blok eller tættest på blå blok?,"Hvor vigtig er din politiske tilknytning for, hvordan du ser dig selv?",Hvilket køn identificerer du dig med? - Selected Choice,Hvilket køn identificerer du dig med? - Andet (angiv venligst) - Text,Hvad er din alder?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Hvor mange røde blodlegemer er der cirka i menneskekroppen?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Hvor mange McDonald’s-restauranter er der cirka i USA?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Hvor mange år siden levede Stegosaurus cirka?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Hvor mange zoroastriere lever der cirka i verden i dag?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Hvor mange personer af græsk afstamning lever der cirka i Canada i dag?,Hvor bekendt er du med [Field-Politician] som politiker?,rid,Politician,MatrixResponses
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID41""}","{""ImportId"":""QID44""}","{""ImportId"":""QID1214637670_1""}","{""ImportId"":""QID1214637670_2""}","{""ImportId"":""QID1214637670_3""}","{""ImportId"":""QID1214637670_4""}","{""ImportId"":""QID1214637670_5""}","{""ImportId"":""QID1214637670_6""}","{""ImportId"":""QID1214637670_7""}","{""ImportId"":""QID1214637670_8""}","{""ImportId"":""QID1214637670_9""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_3_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID1219447388_FIRST_CLICK""}","{""ImportId"":""QID1219447388_LAST_CLICK""}","{""ImportId"":""QID1219447388_PAGE_SUBMIT""}","{""ImportId"":""QID1219447388_CLICK_COUNT""}","{""ImportId"":""QID1219447389_TEXT""}","{""ImportId"":""QID1219447390_FIRST_CLICK""}","{""ImportId"":""QID1219447390_LAST_CLICK""}","{""ImportId"":""QID1219447390_PAGE_SUBMIT""}","{""ImportId"":""QID1219447390_CLICK_COUNT""}","{""ImportId"":""QID1219447391_TEXT""}","{""ImportId"":""QID1219447392_FIRST_CLICK""}","{""ImportId"":""QID1219447392_LAST_CLICK""}","{""ImportId"":""QID1219447392_PAGE_SUBMIT""}","{""ImportId"":""QID1219447392_CLICK_COUNT""}","{""ImportId"":""QID1219447393_TEXT""}","{""ImportId"":""QID1219447394_FIRST_CLICK""}","{""ImportId"":""QID1219447394_LAST_CLICK""}","{""ImportId"":""QID1219447394_PAGE_SUBMIT""}","{""ImportId"":""QID1219447394_CLICK_COUNT""}","{""ImportId"":""QID1219447395_TEXT""}","{""ImportId"":""QID1219447396_FIRST_CLICK""}","{""ImportId"":""QID1219447396_LAST_CLICK""}","{""ImportId"":""QID1219447396_PAGE_SUBMIT""}","{""ImportId"":""QID1219447396_CLICK_COUNT""}","{""ImportId"":""QID1219447397_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""rid""}","{""ImportId"":""Politician""}","{""ImportId"":""MatrixResponses""}"
2026-01-29 17:44:43,2026-01-29 17:47:10,IP Address,103.237.157.158,100,147,True,2026-01-29 17:47:10,R_9EFIAz0w32Fi4TM,,,,,28.6542,77.2373,anonymous,EN-GB,0.699999988079071,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Delvist enig,Meget enig,Meget enig,Delvist enig,Meget enig,Meget enig,Delvist enig,Meget enig,Blå blok,,,Stærkt tilknyttet,,Slet ikke vigtig,Mand,,35,4.175,4.814,6.005,2,,3.605,5.929,6.114,2,,1.123,1.123,3.775,1,test,0.867,0.867,3.635,1,test,2.169,2.169,4.875,1,test,"Slet ikke bekendt (jeg ved ikke, hvem personen er)",697b9c70-2eea-4246-723a-46f7aa535c7d,Troels Lund Poulsen,"Meget enig, Delvist enig"
2026-01-29 18:38:55,2026-01-29 18:40:10,IP Address,80.163.62.59,100,75,True,2026-01-29 18:40:10,R_8xRSYAUJB98B4Js,,,,,54.7697,11.8761,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Rød blok,,Stærkt tilknyttet,,,Lidt vigtig,Mand,,27,3.744,4.086,5.962,2,10,0.778,1.324,4.538,3,400,0.806,1.573,6.109,3,10000,0.67,1.002,5.926,3,200,0.852,1.361,6.122,3,9000000,Moderat bekendt,697ba939-4fd2-0cc2-4e07-6e028ac4a395,Mette Frederiksen,"Hverken enig eller uenig, Delvist enig"
2026-01-29 18:38:59,2026-01-29 18:42:05,IP Address,90.184.181.144,100,185,True,2026-01-29 18:42:05,R_8r2uJNhBPRJXcWl,,,,,57.0421,9.9145,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist Uenig,Delvist Uenig,Delvist Uenig,Meget uenig,Delvist Uenig,Meget uenig,Delvist Uenig,Meget uenig,Meget uenig,Blå blok,,,Stærkt tilknyttet,,Moderat vigtig,Mand,,58,3.449,3.449,6.014,1,Ma,0.46,3.117,6.14,2,100,0.345,4.069,6.008,2,1,0.253,0.301,6.029,2,,0.013,0.013,3.89,1,1,Meget bekendt,697ba93e-6efd-0aeb-4b95-5ea1f9626f2a,Troels Lund Poulsen,"Delvist Uenig, Meget uenig"
2026-01-29 18:41:23,2026-01-29 18:43:02,IP Address,87.49.45.195,100,99,True,2026-01-29 18:43:03,R_2JFQA3vIC2HCvpz,,,,,55.7123,12.0564,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist Uenig,Meget uenig,Hverken enig eller uenig,Delvist Uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist Uenig,Delvist Uenig,Meget uenig,Ingen af delene,,,,Tættest på rød blok,Lidt vigtig,Kvinde,,39,2.357,2.357,6.011,1,2,1.199,1.199,6.03,1,1000,1.384,1.384,6.013,1,20,0.201,1.914,6.03,2,700,1.526,1.526,6.014,1,300⁰000,Moderat bekendt,697ba9cc-e2ee-de77-c935-06e98f7461db,Mette Frederiksen,"Delvist Uenig, Meget uenig, Hverken enig eller uenig"
2026-01-29 18:43:36,2026-01-29 18:46:52,IP Address,77.33.156.72,100,195,True,2026-01-29 18:46:52,R_8rn7EZAxVoBCXYZ,,,,,55.7165,11.384,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Delvist enig,Hverken enig eller uenig,Delvist enig,Meget enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Meget enig,Blå blok,,,Stærkt tilknyttet,,Moderat vigtig,Mand,,48,0,0,6.114,0,,3.722,3.722,6.116,1,,3.13,3.13,6.012,1,500,2.441,2.441,6.017,1,0,0.146,5.97,6.011,2,,Meget bekendt,697baa52-a091-ba52-1556-1a93f9f943b1,Troels Lund Poulsen,"Delvist enig, Hverken enig eller uenig, Meget enig"
2026-01-29 18:45:30,2026-01-29 18:48:34,IP Address,62.107.22.31,100,183,True,2026-01-29 18:48:34,R_85Z0zlQuzCHj17r,,,,,55.6769,12.5268,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Blå blok,,,Stærkt tilknyttet,,Ekstremt vigtig,Kvinde,,48,2.302,2.302,6.02,1,10000å,1.5,1.5,6.012,1,500,1.401,1.401,6.013,1,10000000å0,2.669,2.669,6.019,1,5,1.842,1.842,6.112,1,65432,Moderat bekendt,697baac3-3151-c993-0e88-8069a051418d,Troels Lund Poulsen,"Delvist enig, Hverken enig eller uenig"
2026-01-29 18:48:51,2026-01-29 18:50:27,IP Address,62.107.23.153,100,96,True,2026-01-29 18:50:27,R_8Qt04KqLugiYcMr,,,,,55.6769,12.5268,anonymous,EN-GB,0.6000000238418579,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist enig,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Delvist enig,Meget enig,Rød blok,,Stærkt tilknyttet,,,Meget vigtig,Kvinde,,28,0,0,6.015,0,,4.102,4.102,6.111,1,100,0.801,0.801,6.011,1,1000000,0.292,5.531,6.112,3,20,0.101,0.101,4.98,1,20,Ekstremt bekendt,697bab8d-50d5-b2d1-c066-9b4b7e973b7f,Mette Frederiksen,"Meget enig, Delvist enig"
2026-01-29 18:48:21,2026-01-29 18:50:39,IP Address,77.241.136.55,100,137,True,2026-01-29 18:50:39,R_2y9MTuLSKHpzSI3,,,,,55.674,12.5696,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist enig,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Delvist Uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Ingen af delene,,,,Tættest på rød blok,Moderat vigtig,Kvinde,,27,1.222,1.222,6.014,1,67,1.6,1.6,6.015,1,125,1.337,1.337,6.014,1,6,2.188,2.188,6.112,1,,1.219,1.219,6.012,1,56,Moderat bekendt,697bab6f-46b1-19dc-983e-aa46e4358c9f,Mette Frederiksen,"Hverken enig eller uenig, Delvist Uenig, Delvist enig"
